ano,mes,data,regiao,uf,cidade,bairro,tipo_crime,periodo_dia,ocorrencias,vitimas,prisoes,renda_media,indice_violencia,nivel_risco
2015,1,2015-01-01,Norte,AM,Manaus,Centro,Estelionato,Madrugada,42,6,5,2391.23,72.87,Médio
2015,1,2015-01-01,Norte,PA,Belém,Zona Norte,Furto,Noite,25,4,3,3126.24,85.27,Crítico
2015,1,2015-01-01,Norte,PA,Santarém,Periferia,Furto,Manhã,22,1,3,3315.82,73.02,Alto
2015,1,2015-01-01,Norte,RO,Porto Velho,Zona Sul,Violência doméstica,Tarde,27,5,4,4076.73,106.82,Alto
2015,1,2015-01-01,Norte,TO,Palmas,Zona Sul,Estelionato,Madrugada,27,6,4,3494.94,60.85,Crítico
2015,1,2015-01-01,Nordeste,BA,Salvador,Periferia,Estelionato,Manhã,35,7,1,3170.97,103.18,Baixo
2015,1,2015-01-01,Nordeste,BA,Feira de Santana,Zona Norte,Roubo,Manhã,38,7,5,3142.38,114.34,Alto
2015,1,2015-01-01,Nordeste,PE,Recife,Zona Norte,Furto,Noite,32,5,5,3114.97,30.0,Médio
2015,1,2015-01-01,Nordeste,PE,Jaboatão dos Guararapes,Periferia,Tráfico,Tarde,29,5,7,3123.17,40.94,Baixo
2015,1,2015-01-01,Nordeste,CE,Fortaleza,Zona Norte,Roubo,Madrugada,36,9,1,3196.7,69.38,Alto
2015,1,2015-01-01,Nordeste,CE,Juazeiro do Norte,Centro,Roubo,Noite,26,5,3,1555.84,44.1,Baixo
2015,1,2015-01-01,Nordeste,MA,São Luís,Zona Norte,Tráfico,Manhã,26,5,2,3353.21,50.26,Crítico
2015,1,2015-01-01,Nordeste,PB,João Pessoa,Zona Norte,Homicídio,Madrugada,30,1,3,2211.79,106.35,Crítico
2015,1,2015-01-01,Centro-Oeste,DF,Brasília,Centro,Roubo,Manhã,26,6,2,2461.41,115.08,Médio
2015,1,2015-01-01,Centro-Oeste,GO,Goiânia,Zona Sul,Furto,Manhã,35,4,4,3554.73,11.69,Baixo
2015,1,2015-01-01,Centro-Oeste,GO,Aparecida de Goiânia,Centro,Tráfico,Noite,36,6,1,3627.71,100.44,Crítico
2015,1,2015-01-01,Centro-Oeste,MT,Cuiabá,Zona Sul,Estelionato,Madrugada,43,3,1,2268.52,110.81,Médio
2015,1,2015-01-01,Centro-Oeste,MS,Campo Grande,Periferia,Roubo,Manhã,32,8,3,1971.93,34.06,Crítico
2015,1,2015-01-01,Sudeste,SP,São Paulo,Periferia,Homicídio,Manhã,27,4,1,3300.71,25.95,Crítico
2015,1,2015-01-01,Sudeste,SP,Campinas,Centro,Furto,Madrugada,32,5,2,3803.63,58.63,Baixo
2015,1,2015-01-01,Sudeste,SP,Ribeirão Preto,Zona Norte,Homicídio,Madrugada,23,3,1,3253.19,41.31,Crítico
2015,1,2015-01-01,Sudeste,RJ,Rio de Janeiro,Periferia,Estelionato,Manhã,37,7,2,2937.06,76.64,Alto
2015,1,2015-01-01,Sudeste,RJ,Niterói,Centro,Furto,Manhã,25,7,2,2254.47,106.87,Baixo
2015,1,2015-01-01,Sudeste,RJ,Nova Iguaçu,Zona Norte,Roubo,Noite,35,8,3,3614.36,55.86,Alto
2015,1,2015-01-01,Sudeste,RJ,Petrópolis,Zona Norte,Homicídio,Noite,33,5,2,1608.24,88.06,Alto
2015,1,2015-01-01,Sudeste,MG,Belo Horizonte,Zona Norte,Violência doméstica,Madrugada,25,8,4,2590.57,45.6,Baixo
2015,1,2015-01-01,Sudeste,MG,Uberlândia,Zona Sul,Estelionato,Madrugada,36,6,2,1761.43,13.61,Baixo
2015,1,2015-01-01,Sudeste,MG,Juiz de Fora,Centro,Estelionato,Madrugada,33,6,1,3193.21,53.84,Alto
2015,1,2015-01-01,Sudeste,ES,Vitória,Centro,Furto,Manhã,24,7,4,2879.84,73.33,Alto
2015,1,2015-01-01,Sudeste,ES,Vila Velha,Centro,Homicídio,Tarde,31,5,3,2735.37,35.47,Alto
